,URL_length,privacy_policy,contact_information,feedback_score,load_time,broken_links,new_tech,time_elapsed,content_similarity,update_size,update_frequency,number_of_changes,certificate_authority,SSL_encrption_strength,self_signed_certificate,digital_signature_validity,san_matches_domain,trusted_seal,certification_bey_validity,certification_not_expired,certification_revocation_status,label
285,34,0,0,2.27,3,8,0,4,0,0,4,111,0,0,0,0,0,0,0,0,0,1
286,78,1,1,11.0,1,1,1,250,0,1,1,78,1,1,1,1,1,1,1,1,1,0
287,31,0,0,1.0,1,0,0,12,0,0,5,105,0,0,0,0,0,0,0,0,0,1
288,66,1,1,9.0,1,8,1,32,0,1,3,44,1,1,1,1,1,1,1,1,1,0
289,40,0,0,6.0,1,7,0,16,0,0,4,132,0,0,0,0,0,0,0,0,0,1
290,24,0,0,5.0,2,2,0,79,0,0,5,32,0,0,0,0,0,0,0,0,0,1
291,16,0,0,4.0,3,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
292,38,1,1,11.0,1,2,1,250,0,1,1,78,1,1,1,1,1,1,1,1,1,0
293,41,0,0,3.0,1,7,0,6,0,0,6,247,0,0,0,0,0,0,0,0,0,1
294,72,1,1,7.0,1,9,1,254,0,1,3,79,1,1,1,1,1,1,1,1,1,0
295,78,1,1,9.0,0,0,1,170,0,1,1,97,1,1,1,1,1,1,1,1,1,0
296,20,0,0,3.0,0,0,0,914,0,0,3,105,0,0,0,0,0,0,0,0,0,1
297,16,1,1,2.0,2,3,1,2,0,1,4,198,1,1,1,1,1,1,1,1,1,0
298,22,1,1,2.0,1,3,1,2,0,1,1,79,1,1,1,1,1,1,1,1,1,0
299,21,1,1,7.0,1,1,1,250,0,1,1,78,1,1,1,1,1,1,1,1,1,0
300,42,0,0,4.0,5,6,0,5,0,0,4,174,0,0,0,0,0,0,0,0,0,1
301,47,1,1,8.0,3,0,1,2,0,1,1,79,1,1,1,1,1,1,1,1,1,0
302,24,1,1,11.0,1,1,1,90,0,1,2,89,1,1,1,1,1,1,1,1,1,0
303,55,0,0,2.0,1,9,0,2,0,0,6,654,0,0,0,0,0,0,0,0,0,1
304,22,1,1,8.0,1,2,1,46,0,1,2,66,1,1,1,1,1,1,1,1,1,0
305,52,0,0,6.0,1,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
306,48,0,0,5.0,0,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
307,37,1,1,8.0,1,6,1,46,0,1,1,56,1,1,1,1,1,1,1,1,1,0
308,51,1,1,7.0,4,0,1,2,0,1,6,88,1,1,1,1,1,1,1,1,1,0
309,41,0,0,2.0,1,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
310,49,1,1,9.0,1,2,1,46,0,1,1,71,1,1,1,1,1,1,1,1,1,0
311,15,1,1,4.0,2,6,1,2,0,1,5,71,1,1,1,1,1,1,1,1,1,0
312,25,1,1,6.0,2,0,1,32,0,1,8,57,1,1,1,1,1,1,1,1,1,0
313,30,1,1,10.0,1,4,1,579,0,1,3,82,1,1,1,1,1,1,1,1,1,0
314,78,1,1,6.0,1,1,1,90,0,1,2,89,1,1,1,1,1,1,1,1,1,0
315,44,1,1,6.0,0,1,1,80,0,1,2,93,1,1,1,1,1,1,1,1,1,0
316,23,1,1,6.0,1,0,1,76,0,1,1,16,1,1,1,1,1,1,1,1,1,0
317,40,0,0,1.0,2,8,0,4,0,0,4,111,0,0,0,0,0,0,0,0,0,1
318,46,0,0,1.0,1,9,0,5,0,0,8,147,0,0,0,0,0,0,0,0,0,1
319,21,1,1,2.0,1,0,1,3,0,1,2,99,1,1,1,1,1,1,1,1,1,0
320,22,1,1,10.0,0,7,1,2,0,1,1,89,1,1,1,1,1,1,1,1,1,0
321,19,1,1,8.0,1,4,1,97,0,1,2,46,1,1,1,1,1,1,1,1,1,0
322,21,0,0,2.5,3,6,0,2,0,0,9,132,0,0,0,0,0,0,0,0,0,1
323,29,1,1,11.0,1,1,1,55,0,1,3,51,1,1,1,1,1,1,1,1,1,0
324,22,1,1,7.0,1,2,1,12,0,1,1,94,1,1,1,1,1,1,1,1,1,0
325,77,1,1,5.0,1,1,1,46,0,1,1,71,1,1,1,1,1,1,1,1,1,0
326,41,0,0,2.0,2,7,0,5,0,0,4,135,0,0,0,0,0,0,0,0,0,1
327,20,0,0,0.0,1,0,0,0,0,0,6,136,0,0,0,0,0,0,0,0,0,1
328,30,0,0,2.0,2,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
329,40,0,0,0.0,1,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
330,19,1,1,14.0,4,4,1,97,0,1,2,46,1,1,1,1,1,1,1,1,1,0
331,18,0,0,2.0,2,2,0,1,0,0,1,88,0,0,0,0,0,0,0,0,0,1
332,18,1,1,4.0,4,0,1,254,0,1,1,198,1,1,1,1,1,1,1,1,1,0
333,21,1,1,11.0,1,3,1,254,0,1,3,79,1,1,1,1,1,1,1,1,1,0
334,28,0,0,3.0,2,0,0,254,0,0,3,71,0,0,0,0,0,0,0,0,0,1
335,24,1,1,12.0,1,1,1,190,0,1,1,94,1,1,1,1,1,1,1,1,1,0
336,56,1,1,6.0,1,4,1,2,0,1,3,178,1,1,1,1,1,1,1,1,1,0
337,28,1,1,7.0,0,3,1,254,0,1,3,79,1,1,1,1,1,1,1,1,1,0
338,42,0,0,1.0,1,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
339,18,0,0,1.8,4,7,0,2,0,0,9,756,0,0,0,0,0,0,0,0,0,1
340,41,0,0,3.0,0,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
341,78,1,1,7.0,1,0,1,50,0,1,2,99,1,1,1,1,1,1,1,1,1,0
342,43,0,0,1.0,0,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
343,20,1,1,3.0,1,1,1,2,0,1,6,88,1,1,1,1,1,1,1,1,1,0
344,37,0,0,0.0,0,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
345,21,1,1,4.0,3,0,1,2,0,1,3,94,1,1,1,1,1,1,1,1,1,0
346,30,1,1,6.0,1,0,1,914,0,1,3,254,1,1,1,1,1,1,1,1,1,0
347,40,0,0,4.0,1,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
348,24,1,1,4.0,1,7,1,12,0,1,5,89,1,1,1,1,1,1,1,1,1,0
349,16,1,1,4.0,0,7,1,5,0,1,8,79,1,1,1,1,1,1,1,1,1,0
350,25,0,0,0.0,1,0,0,6,0,0,3,13,0,0,0,0,0,0,0,0,0,1
351,24,1,1,4.0,1,1,1,3,0,1,4,179,1,1,1,1,1,1,1,1,1,0
352,45,1,1,7.0,2,8,1,61,0,1,1,71,1,1,1,1,1,1,1,1,1,0
353,41,0,0,4.0,1,7,0,6,0,0,6,247,0,0,0,0,0,0,0,0,0,1
354,31,1,1,4.0,5,4,1,16,0,1,4,254,1,1,1,1,1,1,1,1,1,0
355,40,0,0,5.0,0,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
356,40,0,0,4.0,1,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
357,26,1,1,10.0,1,1,1,120,0,1,1,76,1,1,1,1,1,1,1,1,1,0
358,40,0,0,2.0,1,9,0,1,0,0,5,179,0,0,0,0,0,0,0,0,0,1
359,23,1,1,11.0,1,0,1,16,0,1,4,57,1,1,1,1,1,1,1,1,1,0
360,40,0,0,1.0,2,8,0,4,0,0,4,111,0,0,0,0,0,0,0,0,0,1
361,30,1,1,5.0,4,6,1,61,0,1,3,44,1,1,1,1,1,1,1,1,1,0
362,20,0,0,2.0,2,7,0,3,0,0,4,222,0,0,0,0,0,0,0,0,0,1
363,59,1,1,8.0,1,1,1,3,0,1,4,179,1,1,1,1,1,1,1,1,1,0
364,78,1,1,8.0,1,1,1,190,0,1,1,94,1,1,1,1,1,1,1,1,1,0
365,44,0,0,1.0,0,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
366,55,1,1,9.0,1,2,1,34,0,1,1,44,1,1,1,1,1,1,1,1,1,0
367,41,0,0,1.0,0,8,0,1,0,0,7,852,0,0,0,0,0,0,0,0,0,1
368,46,0,0,0.0,1,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
369,44,1,1,11.0,0,6,1,79,0,1,7,345,1,1,1,1,1,1,1,1,1,0
370,64,1,1,12.0,2,0,1,16,0,1,1,66,1,1,1,1,1,1,1,1,1,0
371,21,1,1,1.0,1,0,1,1,0,1,2,71,1,1,1,1,1,1,1,1,1,0
372,72,1,1,7.0,1,1,1,16,0,1,4,254,1,1,1,1,1,1,1,1,1,0
373,39,0,0,4.0,3,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
374,40,0,0,1.0,0,3,0,3,0,1,7,271,0,0,1,0,0,0,1,0,0,1
375,37,0,0,2.0,1,9,0,5,0,0,5,195,0,0,0,0,0,0,0,0,0,1
376,19,0,0,2.0,1,0,0,5,0,0,1,94,0,0,0,0,0,0,0,0,0,1
377,21,0,0,4.0,1,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
378,35,0,0,2.0,4,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
379,35,1,1,7.0,1,4,1,60,0,1,2,87,1,1,1,1,1,1,1,1,1,0
380,30,1,1,5.0,1,2,1,84,0,1,1,14,1,1,1,1,1,1,1,1,1,0
381,24,0,0,1.67,3,6,0,2,0,0,8,598,0,0,0,0,0,0,0,0,0,1
382,23,0,0,2.0,1,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
383,27,0,0,4.0,3,9,0,2,0,0,6,654,0,0,0,0,0,0,0,0,0,1
384,18,1,1,3.0,2,1,1,79,0,1,3,105,1,1,1,1,1,1,1,1,1,0
385,40,0,0,3.0,4,7,0,6,0,0,4,156,0,0,0,0,0,0,0,0,0,1
386,27,1,1,2.0,1,8,1,2,0,1,3,132,1,1,1,1,1,1,1,1,1,0
387,46,0,0,4.0,1,7,0,6,0,0,6,247,0,0,0,0,0,0,0,0,0,1
388,28,1,1,7.0,1,0,1,270,0,1,1,75,1,1,1,1,1,1,1,1,1,0
389,37,1,1,6.9,1,2,1,94,0,1,1,84,1,1,1,1,1,1,1,1,1,0
390,39,0,0,1.0,3,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
391,53,0,0,3.0,1,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
392,16,1,1,10.0,1,1,1,79,0,1,1,66,1,1,1,1,1,1,1,1,1,0
393,46,0,0,3.0,0,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
394,62,1,1,10.0,1,7,1,34,0,1,1,44,1,1,1,1,1,1,1,1,1,0
395,30,1,1,3.0,1,9,1,2,0,1,1,79,1,1,1,1,1,1,1,1,1,0
396,25,1,1,1.0,1,1,1,6,0,1,9,88,1,1,1,1,1,1,1,1,1,0
397,47,0,0,5.0,1,7,0,3,0,0,7,268,0,0,0,0,0,0,0,0,0,1
398,19,1,1,15.0,1,0,1,94,0,1,1,55,1,1,1,1,1,1,1,1,1,0
399,26,1,1,7.0,1,1,1,79,0,1,1,66,1,1,1,1,1,1,1,1,1,0
400,39,0,0,4.0,3,6,0,4,0,0,4,357,0,0,0,0,0,0,0,0,0,1
401,34,0,0,2.0,2,0,0,2,0,0,1,44,0,0,0,0,0,0,0,0,0,1
402,27,0,0,2.0,3,3,0,3,0,0,7,271,0,0,1,0,0,0,1,0,0,1
403,26,0,0,8.0,1,0,0,3,0,0,7,63,0,0,0,0,0,0,0,0,0,1
404,26,1,1,7.0,1,2,1,49,0,1,1,66,1,1,1,1,1,1,1,1,1,0
405,49,1,1,9.0,5,0,1,5,0,1,4,136,1,1,1,1,1,1,1,1,1,0
406,29,0,0,3.0,1,0,0,230,0,0,4,99,0,0,0,0,0,0,0,0,0,1
407,23,0,0,1.7,2,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
408,32,1,1,9.0,2,1,1,4,0,1,5,57,1,1,1,1,1,1,1,1,1,0
409,12,1,1,4.0,3,2,1,4,0,1,4,79,1,1,1,1,1,1,1,1,1,0
410,18,0,0,5.0,2,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
411,24,1,1,7.0,1,3,1,2,0,1,3,132,1,1,1,1,1,1,1,1,1,0
412,22,1,1,10.0,0,1,1,61,0,1,4,23,1,1,1,1,1,1,1,1,1,0
413,49,1,1,7.0,1,3,1,4,0,1,1,178,1,1,1,1,1,1,1,1,1,0
414,39,1,1,8.0,1,0,1,2,0,1,3,178,1,1,1,1,1,1,1,1,1,0
415,70,1,1,9.0,2,6,1,624,0,1,1,31,1,1,1,1,1,1,1,1,1,0
416,23,1,1,9.0,1,1,1,68,0,1,2,56,1,1,1,1,1,1,1,1,1,0
417,19,0,0,4.6,5,7,0,2,0,0,5,258,0,0,0,0,0,0,0,0,0,1
418,47,1,1,7.0,1,1,1,6,0,1,3,44,1,1,1,1,1,1,1,1,1,0
419,29,0,0,1.0,4,3,0,1,0,0,1,254,0,0,0,0,0,0,0,0,0,1
420,63,1,1,11.0,1,2,1,3,0,1,9,44,1,1,1,1,1,1,1,1,1,0
421,51,0,0,2.0,1,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
422,72,1,1,10.0,1,1,1,2,0,1,3,94,1,1,1,1,1,1,1,1,1,0
423,34,1,1,6.89,1,0,1,94,0,1,4,94,1,1,1,1,1,1,1,1,1,0
424,37,1,1,11.0,3,3,1,12,0,1,5,89,1,1,1,1,1,1,1,1,1,0
425,67,1,1,9.0,1,4,1,190,0,1,1,94,1,1,1,1,1,1,1,1,1,0
426,77,1,1,8.0,1,2,1,49,0,1,1,66,1,1,1,1,1,1,1,1,1,0
427,24,1,1,8.0,1,2,1,77,0,1,1,31,1,1,1,1,1,1,1,1,1,0
428,51,0,0,2.0,1,8,0,6,0,0,5,357,0,0,0,0,0,0,0,0,0,1
429,30,0,0,1.0,2,0,0,2,0,0,1,198,0,0,0,0,0,0,0,0,0,1
430,53,0,0,0.0,1,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
431,27,0,0,0.0,2,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
432,25,1,1,10.0,1,1,1,624,0,1,1,31,1,1,1,1,1,1,1,1,1,0
433,28,1,1,2.0,0,8,1,2,0,1,5,178,1,1,1,1,1,1,1,1,1,0
434,23,1,1,9.0,1,1,1,68,0,1,4,13,1,1,1,1,1,1,1,1,1,0
435,42,0,0,3.0,3,5,0,4,0,0,4,178,0,0,0,0,0,0,0,0,0,1
436,40,0,0,2.0,4,5,0,5,0,0,5,135,0,0,0,0,0,0,0,0,0,1
437,42,0,0,3.0,3,9,0,6,0,0,4,198,0,0,0,0,0,0,0,0,0,1
438,51,0,0,3.0,2,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
439,78,1,1,7.0,1,1,1,100,0,1,2,99,1,1,1,1,1,1,1,1,1,0
440,39,1,1,9.0,1,1,1,68,0,1,2,56,1,1,1,1,1,1,1,1,1,0
441,63,1,1,7.0,1,6,1,3,0,1,1,105,1,1,1,1,1,1,1,1,1,0
442,50,0,0,0.0,1,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
443,48,1,1,9.0,1,1,1,624,0,1,1,31,1,1,1,1,1,1,1,1,1,0
444,51,0,0,2.0,5,6,0,2,0,0,8,598,0,0,0,0,0,0,0,0,0,1
445,43,1,1,12.0,2,1,1,230,0,1,3,756,1,1,1,1,1,1,1,1,1,0
446,40,0,0,1.0,3,9,0,5,0,0,8,147,0,0,0,0,0,0,0,0,0,1
447,86,1,1,12.0,1,8,1,333,0,1,1,12,1,1,1,1,1,1,1,1,1,0
448,29,1,1,3.0,2,1,1,32,0,1,1,79,1,1,1,1,1,1,1,1,1,0
449,30,0,0,4.0,1,7,0,1,0,0,1,99,0,0,0,0,0,0,0,0,0,1
450,40,0,0,2.0,2,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
451,41,0,0,1.0,3,7,0,3,0,0,7,268,0,0,0,0,0,0,0,0,0,1
452,40,0,0,5.0,0,8,0,1,0,0,7,852,0,0,0,0,0,0,0,0,0,1
453,71,1,1,5.0,1,1,1,90,0,1,2,89,1,1,1,1,1,1,1,1,1,0
454,26,0,0,1.0,1,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
455,43,0,0,3.0,0,7,0,3,0,0,4,222,0,0,0,0,0,0,0,0,0,1
456,9,1,1,7.0,0,3,1,68,0,1,1,58,1,1,1,1,1,1,1,1,1,0
457,46,0,0,1.0,1,7,0,5,0,0,4,135,0,0,0,0,0,0,0,0,0,1
458,22,1,1,9.0,1,0,1,70,0,1,1,88,1,1,1,1,1,1,1,1,1,0
459,46,1,1,7.0,2,2,1,254,0,1,1,178,1,1,1,1,1,1,1,1,1,0
460,32,1,1,11.0,0,1,1,68,0,1,4,13,1,1,1,1,1,1,1,1,1,0
461,20,1,1,12.0,1,3,1,79,0,1,1,94,1,1,1,1,1,1,1,1,1,0
462,27,0,0,3.0,4,9,0,5,0,0,5,195,0,0,0,0,0,0,0,0,0,1
463,42,1,1,8.0,0,3,1,79,0,1,1,94,1,1,1,1,1,1,1,1,1,0
464,36,0,0,4.0,3,8,0,2,0,0,5,198,0,0,0,0,0,0,0,0,0,1
465,16,1,1,4.0,1,2,1,2,0,1,3,624,1,1,1,1,1,1,1,1,1,0
466,31,0,0,1.0,0,0,0,12,0,0,3,71,0,0,0,0,0,0,0,0,0,1
467,20,0,0,4.0,3,9,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,1
468,29,0,0,1.0,2,9,0,0,0,0,1,105,0,0,0,0,0,0,0,0,0,1
469,45,0,0,0.0,1,7,0,3,0,0,4,222,0,0,0,0,0,0,0,0,0,1
470,37,1,1,12.0,1,2,1,76,0,1,3,76,1,1,1,1,1,1,1,1,1,0
471,47,0,0,5.0,2,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
472,92,1,1,9.0,2,5,1,46,0,1,5,57,1,1,1,1,1,1,1,1,1,0
473,19,1,1,9.0,1,2,1,12,0,1,1,94,1,1,1,1,1,1,1,1,1,0
474,68,1,1,10.0,1,4,1,120,0,1,1,76,1,1,1,1,1,1,1,1,1,0
475,45,0,0,1.0,0,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
476,44,0,0,1.0,2,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
477,30,1,1,8.0,0,0,1,94,0,1,1,55,1,1,1,1,1,1,1,1,1,0
478,42,0,0,3.0,1,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
479,21,0,0,4.4,2,7,0,6,0,0,6,247,0,0,0,0,0,0,0,0,0,1
480,49,1,1,11.0,1,4,1,579,0,1,3,82,1,1,1,1,1,1,1,1,1,0
481,86,1,1,8.0,1,1,1,254,0,1,1,82,1,1,1,1,1,1,1,1,1,0
482,61,1,1,6.0,0,2,1,16,0,1,2,79,1,1,1,1,1,1,1,1,1,0
483,74,1,1,6.0,1,1,1,46,0,1,2,94,1,1,1,1,1,1,1,1,1,0
484,40,0,0,6.0,1,8,0,1,0,0,7,852,0,0,0,0,0,0,0,0,0,1
485,46,0,0,5.0,1,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
486,43,0,0,3.0,2,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
487,30,0,0,5.0,1,2,0,32,0,0,2,198,0,0,0,0,0,0,0,0,0,1
488,33,1,1,6.0,0,3,1,12,0,1,1,94,1,1,1,1,1,1,1,1,1,0
489,14,0,0,1.0,0,0,0,4,0,0,3,198,0,0,0,0,0,0,0,0,0,1
490,44,0,0,6.0,1,9,0,5,0,0,5,195,0,0,0,0,0,0,0,0,0,1
491,39,0,0,4.0,1,6,0,2,0,0,8,598,0,0,0,0,0,0,0,0,0,1
492,30,1,1,5.0,1,1,1,333,0,1,1,12,1,1,1,1,1,1,1,1,1,0
493,41,0,0,1.0,3,7,0,6,0,0,6,247,0,0,0,0,0,0,0,0,0,1
494,48,0,0,1.0,2,9,0,5,0,0,5,444,0,0,0,0,0,0,0,0,0,1
495,30,0,0,1.0,1,5,0,0,0,0,4,345,0,0,0,0,0,0,0,0,0,1
496,78,1,1,15.0,1,0,1,80,0,1,2,93,1,1,1,1,1,1,1,1,1,0
497,22,0,0,4.0,1,2,0,5,0,0,2,57,0,0,0,0,0,0,0,0,0,1
498,46,1,1,6.0,1,1,1,91,0,1,1,32,1,1,1,1,1,1,1,1,1,0
499,17,1,1,2.0,1,9,1,61,0,1,6,88,1,1,1,1,1,1,1,1,1,0
500,25,1,1,2.0,2,2,1,4,0,1,2,94,1,1,1,1,1,1,1,1,1,0
501,21,0,0,5.0,0,3,0,3,0,0,3,79,0,0,0,0,0,0,0,0,0,1
